"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2019","61,316.48","62,091.86","62,288.17","61,138.19","-","-1.32%"
"Jun 24, 2019","62,138.19","62,342.56","62,677.04","61,750.91","-","-0.12%"
"Jun 21, 2019","62,210.60","62,440.66","62,551.39","62,057.54","-","0.01%"
"Jun 19, 2019","62,202.96","61,746.01","62,202.96","61,488.47","-","0.81%"
"Jun 18, 2019","61,700.70","61,635.98","61,969.61","61,518.17","-","0.47%"
"Jun 17, 2019","61,413.16","61,307.20","61,580.05","61,278.92","-","-0.01%"
"Jun 14, 2019","61,417.69","61,751.63","61,981.95","61,417.69","-","-0.43%"
"Jun 13, 2019","61,681.22","61,239.27","61,773.57","61,239.27","-","1.01%"
"Jun 12, 2019","61,066.82","61,517.34","61,612.20","60,974.53","-","-0.72%"
"Jun 11, 2019","61,507.37","61,384.56","61,524.09","61,075.68","-","0.29%"
"Jun 10, 2019","61,329.26","61,850.21","61,850.21","61,246.48","-","-1.05%"
"Jun 07, 2019","61,982.69","62,022.56","62,346.56","61,823.89","-","0.12%"
"Jun 06, 2019","61,906.25","61,742.42","61,946.40","61,659.62","-","0.54%"
"Jun 05, 2019","61,571.73","61,613.77","61,902.20","61,405.11","-","-0.01%"
"Jun 04, 2019","61,580.42","62,146.98","62,221.49","61,233.29","-","-0.58%"
"Jun 03, 2019","61,941.15","62,160.52","62,385.19","61,693.61","-","-0.02%"
"May 31, 2019","61,954.74","60,207.70","61,959.07","60,165.44","-","2.69%"
"May 30, 2019","60,330.17","59,518.26","60,524.59","59,501.23","-","1.41%"
"May 29, 2019","59,491.82","59,291.18","59,748.73","59,281.42","-","0.28%"
"May 28, 2019","59,326.71","58,678.97","59,326.71","58,434.22","-","1.37%"
"May 27, 2019","58,524.74","58,506.67","58,849.03","58,443.95","-","0.46%"
"May 24, 2019","58,257.93","58,632.08","58,712.24","58,143.15","-","-0.49%"
"May 23, 2019","58,546.25","58,759.84","58,861.07","58,383.84","-","-0.44%"
"May 22, 2019","58,807.84","58,560.75","58,977.53","58,447.85","-","0.67%"
"May 21, 2019","58,416.12","57,446.02","58,437.63","57,446.02","-","1.93%"
"May 20, 2019","57,310.75","56,415.62","57,338.66","56,375.65","-","1.68%"
"May 17, 2019","56,362.14","56,870.38","57,206.97","56,249.16","-","-1.06%"
"May 16, 2019","56,965.89","57,796.67","57,803.73","56,936.31","-","-1.45%"
"May 15, 2019","57,805.86","57,781.21","57,939.93","57,054.59","-","-0.41%"
"May 14, 2019","58,046.07","57,926.36","58,131.93","57,606.70","-","0.57%"
"May 13, 2019","57,716.10","58,607.00","58,607.00","57,602.06","-","-1.79%"
